old_path,new_path,action,reason,size_bytes
outputs/reports/final_thesis/mock/mock_summary.csv,outputs/summaries/final_thesis/mock/mock_summary.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,17590
outputs/reports/final_thesis/mock/mock_summary.json,outputs/summaries/final_thesis/mock/mock_summary.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,29226
outputs/reports/final_thesis/mock/mock_top_confusions.csv,outputs/summaries/final_thesis/mock/mock_top_confusions.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,55157
outputs/reports/final_thesis/parameter_scan_coverage_audit.json,outputs/summaries/final_thesis/parameter_scan_coverage_audit.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,3004
outputs/reports/final_thesis/parameter_scan_missing_outputs.json,outputs/summaries/final_thesis/parameter_scan_missing_outputs.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,2
outputs/reports/final_thesis/parameter_scan_run_log.json,outputs/summaries/final_thesis/parameter_scan_run_log.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,8366
outputs/reports/final_thesis/path_hygiene_remaining.json,outputs/summaries/final_thesis/path_hygiene_remaining.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,800
outputs/reports/final_thesis/real/real_adaptive_ldp_ablation_summary.csv,outputs/summaries/final_thesis/real/real_adaptive_ldp_ablation_summary.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,20774
outputs/reports/final_thesis/real/real_adaptive_ldp_ablation_summary.md,outputs/summaries/final_thesis/real/real_adaptive_ldp_ablation_summary.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,1875
outputs/reports/final_thesis/real/real_coverage_audit.json,outputs/summaries/final_thesis/real/real_coverage_audit.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,172
outputs/reports/final_thesis/real/real_dataset_meta_summary.csv,outputs/summaries/final_thesis/real/real_dataset_meta_summary.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,654
outputs/reports/final_thesis/real/real_missing_outputs.json,outputs/summaries/final_thesis/real/real_missing_outputs.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,2
outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv,outputs/summaries/final_thesis/real/real_parameter_scan_adaptive_ldp.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,104053
outputs/reports/final_thesis/real/real_parameter_scan_ldp.csv,outputs/summaries/final_thesis/real/real_parameter_scan_ldp.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,72201
outputs/reports/final_thesis/real/real_parameter_scan_noise.csv,outputs/summaries/final_thesis/real/real_parameter_scan_noise.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,59804
outputs/reports/final_thesis/real/real_summary.csv,outputs/summaries/final_thesis/real/real_summary.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,68501
outputs/reports/final_thesis/real/real_summary.json,outputs/summaries/final_thesis/real/real_summary.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,114391
outputs/reports/final_thesis/real/real_top_confusions.csv,outputs/summaries/final_thesis/real/real_top_confusions.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,204544
outputs/reports/final_thesis/repository_bloat_audit.csv,outputs/summaries/final_thesis/repository_bloat_audit.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,293897
outputs/reports/final_thesis/repository_bloat_audit.json,outputs/summaries/final_thesis/repository_bloat_audit.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,589962
outputs/reports/final_thesis/repository_bloat_audit.md,outputs/summaries/final_thesis/repository_bloat_audit.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,833
outputs/reports/final_thesis/repository_cleanup_report.json,outputs/summaries/final_thesis/repository_cleanup_report.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,2633
outputs/reports/final_thesis/repository_cleanup_report.md,outputs/summaries/final_thesis/repository_cleanup_report.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,3557
outputs/reports/final_thesis/repository_delivery_check.md,outputs/summaries/final_thesis/repository_delivery_check.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,1526
outputs/reports/final_thesis/thesis_revision_prompt.md,outputs/summaries/final_thesis/thesis_revision_prompt.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,9382
outputs/reports/final_thesis/thesis_text_sync_suggestions.md,outputs/summaries/final_thesis/thesis_text_sync_suggestions.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,1092
outputs/figures/final_thesis/adaptive_ldp_ablation_mock_accuracy.png,outputs/figures/summaries/final_thesis/adaptive_ldp_ablation_mock_accuracy.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,137276
outputs/figures/final_thesis/adaptive_ldp_ablation_mock_distortion.png,outputs/figures/summaries/final_thesis/adaptive_ldp_ablation_mock_distortion.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,111918
outputs/figures/final_thesis/adaptive_ldp_ablation_real_accuracy.png,outputs/figures/summaries/final_thesis/adaptive_ldp_ablation_real_accuracy.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,394776
outputs/figures/final_thesis/adaptive_ldp_ablation_real_distortion.png,outputs/figures/summaries/final_thesis/adaptive_ldp_ablation_real_distortion.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,324453
outputs/figures/final_thesis/confusion_casas_hh101.png,outputs/figures/summaries/final_thesis/confusion_casas_hh101.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,125576
outputs/figures/final_thesis/confusion_kasteren.png,outputs/figures/summaries/final_thesis/confusion_kasteren.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,81066
outputs/figures/final_thesis/confusion_mock.png,outputs/figures/summaries/final_thesis/confusion_mock.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,58374
outputs/figures/final_thesis/confusion_uci_har.png,outputs/figures/summaries/final_thesis/confusion_uci_har.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,74326
outputs/figures/final_thesis/cooja_mode_accuracy.png,outputs/figures/summaries/final_thesis/cooja_mode_accuracy.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,50476
outputs/figures/final_thesis/cooja_per_seed_accuracy.png,outputs/figures/summaries/final_thesis/cooja_per_seed_accuracy.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,132610
outputs/figures/final_thesis/cooja_traffic_metrics.png,outputs/figures/summaries/final_thesis/cooja_traffic_metrics.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,56011
outputs/figures/final_thesis/cooja_window_overhead_proxy.png,outputs/figures/summaries/final_thesis/cooja_window_overhead_proxy.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,37628
outputs/figures/final_thesis/mock_method_distortion.png,outputs/figures/summaries/final_thesis/mock_method_distortion.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,33905
outputs/figures/final_thesis/mock_model_mode_accuracy.png,outputs/figures/summaries/final_thesis/mock_model_mode_accuracy.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,47224
outputs/figures/final_thesis/parameter_scan_adaptive_ldp_all_models_modes.png,outputs/figures/summaries/final_thesis/parameter_scan_adaptive_ldp_all_models_modes.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,367748
outputs/figures/final_thesis/parameter_scan_ldp_all_models_modes.png,outputs/figures/summaries/final_thesis/parameter_scan_ldp_all_models_modes.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,303581
outputs/figures/final_thesis/parameter_scan_noise_all_models_modes.png,outputs/figures/summaries/final_thesis/parameter_scan_noise_all_models_modes.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,325171
outputs/figures/final_thesis/real_casas_hh101_model_mode_accuracy.png,outputs/figures/summaries/final_thesis/real_casas_hh101_model_mode_accuracy.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,48176
outputs/figures/final_thesis/real_kasteren_model_mode_accuracy.png,outputs/figures/summaries/final_thesis/real_kasteren_model_mode_accuracy.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,48435
outputs/figures/final_thesis/real_uci_har_model_mode_accuracy.png,outputs/figures/summaries/final_thesis/real_uci_har_model_mode_accuracy.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,43163
outputs/figures/final_thesis/real_uci_ldp_scan.png,outputs/figures/summaries/final_thesis/real_uci_ldp_scan.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,53303
outputs/figures/final_thesis/real_uci_noise_scan.png,outputs/figures/summaries/final_thesis/real_uci_noise_scan.png,copy,Move final thesis figures to outputs/figures/summaries/final_thesis.,60745
outputs/defense/full_multiseed/seed_42/adaptive_ldp/json_reports/lstm_baseline_confusion_test.json,outputs/experiments/mock/seed_42/lstm/baseline/baseline_confusion.json,copy,Normalize baseline confusion file.,1749
outputs/defense/full_multiseed/seed_42/adaptive_ldp/json_reports/lstm_baseline_confusion_test.json,outputs/experiments/mock/seed_42/lstm/baseline/baseline_metrics.json,copy,Use baseline confusion metrics as baseline metrics artifact.,1749
generated,outputs/experiments/mock/seed_42/lstm/baseline/baseline_classification_report.txt,write,Write derived baseline report from existing metrics.,0
generated,outputs/experiments/mock/seed_42/lstm/baseline/source_manifest.json,write,Write baseline source manifest.,0
outputs/defense/final_thesis/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,copy,Normalize main matrix artifact.,1743
outputs/defense/final_thesis/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/classification_report.txt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/classification_report.txt,copy,Normalize main matrix artifact.,179
outputs/defense/final_thesis/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/trace.json,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/trace.json,copy,Normalize main matrix artifact.,386
outputs/defense/final_thesis/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/defense_report.json,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/defense_report.json,copy,Normalize main matrix artifact.,1524
outputs/defense/final_thesis/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1743
generated,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/source_manifest.json,write,Write main matrix source manifest.,0
outputs/defense/final_thesis/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,copy,Normalize main matrix artifact.,1761
outputs/defense/final_thesis/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/classification_report.txt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/classification_report.txt,copy,Normalize main matrix artifact.,181
outputs/defense/final_thesis/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/trace.json,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/trace.json,copy,Normalize main matrix artifact.,390
outputs/defense/final_thesis/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/defense_report.json,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/defense_report.json,copy,Normalize main matrix artifact.,1524
outputs/defense/final_thesis/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1761
generated,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/source_manifest.json,write,Write main matrix source manifest.,0
outputs/defense/final_thesis/mock/seed_42/lstm/ldp/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/confusion.json,copy,Normalize main matrix artifact.,1743
outputs/defense/final_thesis/mock/seed_42/lstm/ldp/fixed_attacker/classification_report.txt,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/classification_report.txt,copy,Normalize main matrix artifact.,170
outputs/defense/final_thesis/mock/seed_42/lstm/ldp/fixed_attacker/trace.json,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/trace.json,copy,Normalize main matrix artifact.,368
outputs/defense/final_thesis/mock/seed_42/lstm/ldp/fixed_attacker/defense_report.json,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/defense_report.json,copy,Normalize main matrix artifact.,1514
outputs/defense/final_thesis/mock/seed_42/lstm/ldp/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1743
generated,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/source_manifest.json,write,Write main matrix source manifest.,0
outputs/defense/final_thesis/mock/seed_42/lstm/ldp/retrain_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/ldp/retrain_attacker/confusion.json,copy,Normalize main matrix artifact.,1777
outputs/defense/final_thesis/mock/seed_42/lstm/ldp/retrain_attacker/classification_report.txt,outputs/experiments/mock/seed_42/lstm/ldp/retrain_attacker/classification_report.txt,copy,Normalize main matrix artifact.,172
outputs/defense/final_thesis/mock/seed_42/lstm/ldp/retrain_attacker/trace.json,outputs/experiments/mock/seed_42/lstm/ldp/retrain_attacker/trace.json,copy,Normalize main matrix artifact.,372
outputs/defense/final_thesis/mock/seed_42/lstm/ldp/retrain_attacker/defense_report.json,outputs/experiments/mock/seed_42/lstm/ldp/retrain_attacker/defense_report.json,copy,Normalize main matrix artifact.,1514
outputs/defense/final_thesis/mock/seed_42/lstm/ldp/retrain_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/ldp/retrain_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1777
generated,outputs/experiments/mock/seed_42/lstm/ldp/retrain_attacker/source_manifest.json,write,Write main matrix source manifest.,0
outputs/defense/final_thesis/mock/seed_42/lstm/noise/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/noise/fixed_attacker/confusion.json,copy,Normalize main matrix artifact.,1753
outputs/defense/final_thesis/mock/seed_42/lstm/noise/fixed_attacker/classification_report.txt,outputs/experiments/mock/seed_42/lstm/noise/fixed_attacker/classification_report.txt,copy,Normalize main matrix artifact.,172
outputs/defense/final_thesis/mock/seed_42/lstm/noise/fixed_attacker/trace.json,outputs/experiments/mock/seed_42/lstm/noise/fixed_attacker/trace.json,copy,Normalize main matrix artifact.,372
outputs/defense/final_thesis/mock/seed_42/lstm/noise/fixed_attacker/defense_report.json,outputs/experiments/mock/seed_42/lstm/noise/fixed_attacker/defense_report.json,copy,Normalize main matrix artifact.,1499
outputs/defense/final_thesis/mock/seed_42/lstm/noise/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/noise/fixed_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1753
generated,outputs/experiments/mock/seed_42/lstm/noise/fixed_attacker/source_manifest.json,write,Write main matrix source manifest.,0
outputs/defense/final_thesis/mock/seed_42/lstm/noise/retrain_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/noise/retrain_attacker/confusion.json,copy,Normalize main matrix artifact.,1776
outputs/defense/final_thesis/mock/seed_42/lstm/noise/retrain_attacker/classification_report.txt,outputs/experiments/mock/seed_42/lstm/noise/retrain_attacker/classification_report.txt,copy,Normalize main matrix artifact.,174
outputs/defense/final_thesis/mock/seed_42/lstm/noise/retrain_attacker/trace.json,outputs/experiments/mock/seed_42/lstm/noise/retrain_attacker/trace.json,copy,Normalize main matrix artifact.,376
outputs/defense/final_thesis/mock/seed_42/lstm/noise/retrain_attacker/defense_report.json,outputs/experiments/mock/seed_42/lstm/noise/retrain_attacker/defense_report.json,copy,Normalize main matrix artifact.,1499
outputs/defense/final_thesis/mock/seed_42/lstm/noise/retrain_attacker/confusion.json,outputs/experiments/mock/seed_42/lstm/noise/retrain_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1776
generated,outputs/experiments/mock/seed_42/lstm/noise/retrain_attacker/source_manifest.json,write,Write main matrix source manifest.,0
outputs/defense/full_multiseed/seed_42/adaptive_ldp/json_reports/mlp_baseline_confusion_test.json,outputs/experiments/mock/seed_42/mlp/baseline/baseline_confusion.json,copy,Normalize baseline confusion file.,1743
outputs/defense/full_multiseed/seed_42/adaptive_ldp/json_reports/mlp_baseline_confusion_test.json,outputs/experiments/mock/seed_42/mlp/baseline/baseline_metrics.json,copy,Use baseline confusion metrics as baseline metrics artifact.,1743
generated,outputs/experiments/mock/seed_42/mlp/baseline/baseline_classification_report.txt,write,Write derived baseline report from existing metrics.,0
generated,outputs/experiments/mock/seed_42/mlp/baseline/source_manifest.json,write,Write baseline source manifest.,0
outputs/defense/final_thesis/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/confusion.json,copy,Normalize main matrix artifact.,1448
outputs/defense/final_thesis/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/classification_report.txt,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/classification_report.txt,copy,Normalize main matrix artifact.,178
outputs/defense/final_thesis/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/trace.json,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/trace.json,copy,Normalize main matrix artifact.,385
outputs/defense/final_thesis/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/defense_report.json,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/defense_report.json,copy,Normalize main matrix artifact.,1524
outputs/defense/final_thesis/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1448
generated,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/source_manifest.json,write,Write main matrix source manifest.,0
outputs/defense/final_thesis/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/confusion.json,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/confusion.json,copy,Normalize main matrix artifact.,1754
outputs/defense/final_thesis/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/classification_report.txt,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/classification_report.txt,copy,Normalize main matrix artifact.,180
outputs/defense/final_thesis/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/trace.json,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/trace.json,copy,Normalize main matrix artifact.,389
outputs/defense/final_thesis/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/defense_report.json,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/defense_report.json,copy,Normalize main matrix artifact.,1524
outputs/defense/final_thesis/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/confusion.json,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1754
generated,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/source_manifest.json,write,Write main matrix source manifest.,0
outputs/defense/final_thesis/mock/seed_42/mlp/ldp/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/mlp/ldp/fixed_attacker/confusion.json,copy,Normalize main matrix artifact.,1156
outputs/defense/final_thesis/mock/seed_42/mlp/ldp/fixed_attacker/classification_report.txt,outputs/experiments/mock/seed_42/mlp/ldp/fixed_attacker/classification_report.txt,copy,Normalize main matrix artifact.,169
outputs/defense/final_thesis/mock/seed_42/mlp/ldp/fixed_attacker/trace.json,outputs/experiments/mock/seed_42/mlp/ldp/fixed_attacker/trace.json,copy,Normalize main matrix artifact.,367
outputs/defense/final_thesis/mock/seed_42/mlp/ldp/fixed_attacker/defense_report.json,outputs/experiments/mock/seed_42/mlp/ldp/fixed_attacker/defense_report.json,copy,Normalize main matrix artifact.,1514
outputs/defense/final_thesis/mock/seed_42/mlp/ldp/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/mlp/ldp/fixed_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1156
generated,outputs/experiments/mock/seed_42/mlp/ldp/fixed_attacker/source_manifest.json,write,Write main matrix source manifest.,0
outputs/defense/final_thesis/mock/seed_42/mlp/ldp/retrain_attacker/confusion.json,outputs/experiments/mock/seed_42/mlp/ldp/retrain_attacker/confusion.json,copy,Normalize main matrix artifact.,1768
outputs/defense/final_thesis/mock/seed_42/mlp/ldp/retrain_attacker/classification_report.txt,outputs/experiments/mock/seed_42/mlp/ldp/retrain_attacker/classification_report.txt,copy,Normalize main matrix artifact.,171
outputs/defense/final_thesis/mock/seed_42/mlp/ldp/retrain_attacker/trace.json,outputs/experiments/mock/seed_42/mlp/ldp/retrain_attacker/trace.json,copy,Normalize main matrix artifact.,371
outputs/defense/final_thesis/mock/seed_42/mlp/ldp/retrain_attacker/defense_report.json,outputs/experiments/mock/seed_42/mlp/ldp/retrain_attacker/defense_report.json,copy,Normalize main matrix artifact.,1514
outputs/defense/final_thesis/mock/seed_42/mlp/ldp/retrain_attacker/confusion.json,outputs/experiments/mock/seed_42/mlp/ldp/retrain_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1768
generated,outputs/experiments/mock/seed_42/mlp/ldp/retrain_attacker/source_manifest.json,write,Write main matrix source manifest.,0
outputs/defense/final_thesis/mock/seed_42/mlp/noise/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/mlp/noise/fixed_attacker/confusion.json,copy,Normalize main matrix artifact.,1738
outputs/defense/final_thesis/mock/seed_42/mlp/noise/fixed_attacker/classification_report.txt,outputs/experiments/mock/seed_42/mlp/noise/fixed_attacker/classification_report.txt,copy,Normalize main matrix artifact.,171
outputs/defense/final_thesis/mock/seed_42/mlp/noise/fixed_attacker/trace.json,outputs/experiments/mock/seed_42/mlp/noise/fixed_attacker/trace.json,copy,Normalize main matrix artifact.,371
outputs/defense/final_thesis/mock/seed_42/mlp/noise/fixed_attacker/defense_report.json,outputs/experiments/mock/seed_42/mlp/noise/fixed_attacker/defense_report.json,copy,Normalize main matrix artifact.,1499
outputs/defense/final_thesis/mock/seed_42/mlp/noise/fixed_attacker/confusion.json,outputs/experiments/mock/seed_42/mlp/noise/fixed_attacker/metrics.json,copy,Expose defended confusion metrics under standard metrics.json.,1738
